Platz;Mannschaft;Spiele;g;u;v;Tore;Diff;Punkte
1;YEG Hassel;30;21;6;3;65:25;40;69
2;TuS Nordvesta Sinsen;30;15;9;6;47:28;19;54
3;SV Herbern;30;15;7;8;66:41;25;52
4;SF Stuckenbusch;30;14;10;6;45:31;14;52
5;BSV Roxel;30;13;8;9;62:43;19;47
6;SV Eintracht Ahaus;30;13;8;9;61:48;13;47
7;SV Mesum;30;13;8;9;44:33;11;47
8;TuS Haltern am See;30;14;5;11;51:48;3;47
9;SpVg Emsdetten 05;30;12;8;10;60:48;12;44
10;Lüner SV;30;12;7;11;47:44;3;43
11;SV Burgsteinfurt;30;11;6;13;51:54;-3;39
12;SV Dorsten-Hardt;30;9;4;17;32:58;-26;31
13;Hammer SpVg II;30;8;5;17;45:61;-16;29
14;BV Brambauer-Lünen;30;7;8;15;29:54;-25;29
15;SpVg Beckum;30;4;11;15;41:65;-24;23
16;SV Gescher 08;30;2;4;24;27:92;-65;10
