Platz;Mannschaft;Spiele;g;u;v;Tore;Diff;Punkte;
1;SpVg Beckum;30;18;8;4;55:21;34;62;
2;SC Münster 08;30;17;5;8;55:42;13;56;
3;SV Mesum;30;14;10;6;55:34;21;52;
4;SC Preußen 06 Lengerich;30;13;8;9;57:45;12;47;
5;VfL Senden;30;14;5;11;58:60;-2;47;
6;SV Eintracht Ahaus;30;12;10;8;45:40;5;46;
7;Borussia Emsdetten;30;12;6;12;56:44;12;42;
8;Grün-Weiß Nottuln;30;11;7;12;55:49;6;40;
9;SV Westfalia Gemen;30;10;9;11;56:60;-4;39;
10;DJK Eintracht Coesfeld;30;10;6;14;48:61;-13;36;
11;SV Dorsten-Hardt;30;7;13;10;42:44;-2;34;
12;SV Herbern;30;7;12;11;48:52;-4;33;
13;SV Burgsteinfurt;30;9;6;15;39:48;-9;33;
14;TSG Dülmen;30;8;9;13;47:63;-16;33;
15;SpVg Emsdetten 05;30;8;9;13;47:65;-18;33;
16;SV Rot-Weiß Deuten;30;8;1;21;37:72;-35;25;
