Pl.;Mannschaft;Sp;g;u;v;Tore;Diff;Pkt.;
1;Ibbenbürener SpVg. 08;32;26;1;5;122:31;91;79;
2;DJK Borussia 07 Münster;32;25;3;4;88:27;61;78;
3;SC Greven 09;32;19;5;8;91:55;36;62;
4;SC Münster 08;32;17;7;8;79:43;36;58;
5;SV Burgsteinfurt;32;16;8;8;71:50;21;56;
6;SpVg Emsdetten 05;32;14;11;7;68:49;19;53;
7;Borghorster FC;32;14;7;11;79:77;2;49;
8;SV Teuto Riesenbeck;32;14;5;13;73:58;15;47;
9;SC Westfalia Kinderhaus II;32;14;4;14;68:70;-2;46;
10;SuS Neuenkirchen II;32;11;9;12;65:72;-7;42;
11;SV Mesum II;32;12;5;15;73:81;-8;41;
12;TuS Graf Kobbo Tecklenburg;32;13;0;19;69:86;-17;39;
13;TuS Altenberge;32;9;4;19;64:91;-27;31;
14;TuS Recke;32;9;3;20;46:93;-47;30;
15;SV Blau-Weiß Aasee;32;8;2;22;48:106;-58;26;
16;Eintracht Rheine II;32;5;6;21;41:90;-49;21;
17;DJK Grün-Weiß Gelmer;32;4;4;24;42:108;-66;16;
