Platz;Mannschaft;Spiele;g;u;v;Tore;Diff;Punkte
1;FC Viktoria Heiden;30;17;4;9;72:47;25;55
2;DJK Eintracht Coesfeld;30;16;4;10;63:52;11;52
3;TuS Haltern am See;30;14;9;7;53:38;15;51
4;SV Mesum;30;15;5;10;43:33;10;50
5;SC Preußen Borghorst;30;15;3;12;52:46;6;48
6;SpVg Beckum;30;13;8;9;52:38;14;47
7;SV Eintracht Ahaus;30;13;6;11;57:46;11;45
8;YEG Hassel;30;12;9;9;47:44;3;45
9;TuS Nordvesta Sinsen;30;11;10;9;44:44;0;43
10;SpVg Emsdetten 05;30;12;6;12;51:52;-1;42
11;SF Stuckenbusch;30;10;10;10;49:44;5;40
12;SV Herbern;30;10;9;11;47:47;0;39
13;Hammer SpVg II;30;13;0;17;47:58;-11;39
14;VfL Sportfreunde Lotte II;30;9;8;13;38:49;-11;35
15;SG Borken;30;8;6;16;44:56;-12;30
16;SV Vestia Disteln;30;1;5;24;24:89;-65;8
