Platz;Mannschaft;Spiele;g;u;v;Tore;Diff;Punkte
1;Arminia Bielefeld II;34;18;8;8;74:44;30;62
2;SC Verl;34;17;9;8;68:41;27;60
3;VfL Bochum II;34;17;8;9;63:39;24;59
4;VfB Fichte Bielefeld;34;16;9;9;55:48;7;57
5;LR Ahlen II;34;16;7;11;75:42;33;55
6;VfB Hüls;34;13;12;9;53:45;8;51
7;SC Hassel;34;14;7;13;49:52;-3;49
7;FC Gütersloh;34;14;7;13;47:50;-3;49
9;Vorwärts Kornharpen;34;13;8;13;52:52;0;47
10;Eintracht Rheine;34;12;11;11;50:55;-5;47
11;SV Lippstadt 08;34;13;7;14;51:51;0;46
12;SG Wattenscheid 09 II;34;13;6;15;51:56;-5;45
13;SV Schermbeck;34;12;8;14;53:51;2;44
14;SpVg Emsdetten 05;34;12;7;15;54:57;-3;43
15;Sportfreunde Siegen II;34;11;8;15;58:61;-3;41
16;TSG Sprockhövel;34;10;11;13;56:71;-15;41
17;SuS Stadtlohn;34;10;10;14;46:58;-12;40
18;Lüner SV;34;2;3;29;28:110;-82;9
