Platz;Mannschaft;Spiele;g;u;v;Tore;Diff;Punkte
1;SC Hassel;30;18;7;5;55:17;38;61
2;BSV Roxel;30;15;11;4;60:46;14;56
3;TuS Haltern am See;30;15;8;7;50:30;20;53
4;TSV Marl-Hüls;30;16;3;11;71:42;29;51
5;DJK Eintracht Coesfeld;30;14;5;11;46:41;5;47
6;SV Mesum;30;12;9;9;58:51;7;45
7;SV Eintracht Ahaus;30;13;6;11;63:63;0;45
8;SG Borken;30;11;9;10;52:56;-4;42
8;SC Preußen Borghorst;30;12;6;12;46:50;-4;42
10;Grün-Weiß Nottuln;30;11;8;11;44:38;6;41
11;FC Viktoria Heiden;30;11;6;13;54:57;-3;39
12;SV Burgsteinfurt;30;10;9;11;46:50;-4;39
13;Borussia Emsdetten;30;10;6;14;51:68;-17;36
14;SC Münster 08;30;6;8;16;31:54;-23;26
15;SpVg Emsdetten 05;30;4;8;18;45:74;-29;20
16;SSV Buer;30;5;5;20;48:83;-35;20
